age,age__is_outlier,workclass,workclass__is_missing,fnlwgt,fnlwgt__is_outlier,education,education_num,education_num__is_outlier,marital_status,occupation,occupation__is_missing,relationship,race,sex,capital_gain,capital_gain__is_outlier,capital_loss,capital_loss__is_outlier,hours_per_week,hours_per_week__is_outlier,native_country,native_country__is_missing,income
20,0,Private,0,216972,0,HS-grad,9,0,Never-married,Sales,0,Not-in-family,White,Male,0,0,0,0,30,1,United-States,0,<=50K
44,0,Private,0,216907,0,Assoc-acdm,12,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,1848,0,40,0,United-States,0,>50K
37,0,Self-emp-not-inc,0,348960,0,Assoc-acdm,12,0,Married-civ-spouse,Transport-moving,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,>50K
44,0,Private,0,201723,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,15024,0,0,0,45,0,United-States,0,>50K
27,0,Private,0,200641,0,10th,6,0,Married-civ-spouse,Exec-managerial,0,Wife,White,Female,0,0,0,0,40,0,Mexico,0,<=50K
36,0,Private,0,342642,0,Masters,14,0,Never-married,Exec-managerial,0,Not-in-family,White,Male,0,0,0,0,15,1,United-States,0,<=50K
27,0,Private,0,100168,0,7th-8th,4,1,Married-civ-spouse,Other-service,0,Wife,White,Female,0,0,0,0,40,0,United-States,0,<=50K
22,0,Private,0,205939,0,Bachelors,13,0,Never-married,Exec-managerial,0,Own-child,White,Male,2202,0,0,0,4,1,United-States,0,<=50K
36,0,Local-gov,0,126569,0,Some-college,10,0,Married-civ-spouse,Protective-serv,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
30,0,Self-emp-inc,0,204470,0,Some-college,10,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,36,0,United-States,0,>50K
31,0,Private,0,159737,0,10th,6,0,Never-married,Adm-clerical,0,Unmarried,Black,Female,0,0,0,0,40,0,United-States,0,<=50K
27,0,Private,0,50132,0,Some-college,10,0,Divorced,Sales,0,Not-in-family,White,Male,0,0,0,0,50,0,United-States,0,<=50K
39,0,Private,0,186420,0,HS-grad,9,0,Divorced,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
42,0,Private,0,177989,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
26,0,Private,0,206600,0,11th,7,0,Never-married,Other-service,0,Other-relative,White,Male,0,0,0,0,30,1,Mexico,0,<=50K
45,0,Private,0,34248,0,HS-grad,9,0,Married-civ-spouse,Sales,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,<=50K
49,0,Private,0,133729,0,Some-college,10,0,Married-civ-spouse,Other-service,0,Husband,White,Male,0,0,0,0,17,1,United-States,0,<=50K
18,0,Private,0,378707,0,10th,6,0,Never-married,Sales,0,Own-child,White,Female,0,0,0,0,20,1,United-States,0,<=50K
51,0,Private,0,152810,0,HS-grad,9,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
66,0,Private,0,101607,0,HS-grad,9,0,Divorced,Machine-op-inspct,0,Not-in-family,White,Male,0,0,0,0,10,1,United-States,0,<=50K
47,0,Local-gov,0,352614,0,Assoc-acdm,12,0,Married-civ-spouse,Protective-serv,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
55,0,Private,0,227158,0,Bachelors,13,0,Widowed,Adm-clerical,0,Unmarried,White,Female,0,0,0,0,40,0,United-States,0,<=50K
27,0,State-gov,0,365916,0,Assoc-acdm,12,0,Never-married,Exec-managerial,0,Not-in-family,White,Female,0,0,0,0,58,1,United-States,0,<=50K
75,0,missing,1,125784,0,Some-college,10,0,Married-civ-spouse,missing,1,Husband,White,Male,0,0,0,0,8,1,United-States,0,<=50K
24,0,Private,0,96178,0,Bachelors,13,0,Never-married,Adm-clerical,0,Own-child,White,Female,0,0,0,0,40,0,United-States,0,<=50K
32,0,Private,0,97723,0,Some-college,10,0,Never-married,Craft-repair,0,Not-in-family,White,Male,0,0,0,0,38,0,United-States,0,<=50K
60,0,Private,0,135470,0,5th-6th,3,1,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,Mexico,0,<=50K
28,0,Private,0,535978,1,Some-college,10,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
34,0,Private,0,34374,0,Some-college,10,0,Never-married,Other-service,0,Not-in-family,White,Male,0,0,0,0,50,0,United-States,0,<=50K
77,0,Self-emp-not-inc,0,209507,0,Some-college,10,0,Never-married,Craft-repair,0,Not-in-family,White,Male,0,0,0,0,40,0,United-States,0,<=50K
25,0,missing,1,202480,0,Assoc-acdm,12,0,Never-married,missing,1,Other-relative,White,Male,0,0,0,0,45,0,United-States,0,<=50K
45,0,Private,0,179659,0,Bachelors,13,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,3103,0,0,0,40,0,United-States,0,>50K
75,0,Private,0,256474,0,Masters,14,0,Never-married,Protective-serv,0,Not-in-family,White,Male,0,0,0,0,16,1,United-States,0,<=50K
52,0,missing,1,271749,0,12th,8,0,Never-married,missing,1,Other-relative,Black,Male,594,0,0,0,40,0,United-States,0,<=50K
30,0,Self-emp-not-inc,0,117944,0,HS-grad,9,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,25,1,United-States,0,<=50K
34,0,Self-emp-inc,0,174215,0,Masters,14,0,Never-married,Exec-managerial,0,Not-in-family,White,Female,4787,0,0,0,45,0,France,0,>50K
64,0,State-gov,0,264544,0,Masters,14,0,Married-civ-spouse,Prof-specialty,0,Wife,White,Female,0,0,0,0,5,1,United-States,0,>50K
29,0,Self-emp-not-inc,0,322238,0,HS-grad,9,0,Never-married,Farming-fishing,0,Not-in-family,White,Male,0,0,0,0,40,0,United-States,0,<=50K
29,0,Private,0,104256,0,HS-grad,9,0,Divorced,Sales,0,Not-in-family,White,Female,0,0,0,0,34,0,United-States,0,<=50K
35,0,Private,0,82552,0,Assoc-acdm,12,0,Married-civ-spouse,Tech-support,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
35,0,Private,0,194960,0,HS-grad,9,0,Never-married,Farming-fishing,0,Not-in-family,Other,Male,0,0,0,0,40,0,Puerto-Rico,0,<=50K
29,0,Private,0,253752,0,10th,6,0,Married-civ-spouse,Farming-fishing,0,Wife,White,Female,0,0,0,0,40,0,United-States,0,<=50K
20,0,Private,0,653574,1,Some-college,10,0,Never-married,Other-service,0,Own-child,White,Male,0,0,0,0,33,0,El-Salvador,0,<=50K
46,0,Private,0,86220,0,Bachelors,13,0,Divorced,Sales,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
23,0,Private,0,179423,0,Bachelors,13,0,Never-married,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,5,1,United-States,0,<=50K
60,0,missing,1,290593,0,Masters,14,0,Married-civ-spouse,missing,1,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
25,0,Self-emp-not-inc,0,37741,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Wife,White,Female,0,0,0,0,40,0,United-States,0,<=50K
27,0,Self-emp-not-inc,0,404998,0,Assoc-voc,11,0,Never-married,Craft-repair,0,Own-child,White,Male,0,0,0,0,40,0,United-States,0,<=50K
24,0,Private,0,417668,1,Bachelors,13,0,Never-married,Prof-specialty,0,Own-child,White,Male,0,0,0,0,30,1,United-States,0,<=50K
81,1,Private,0,364099,0,Some-college,10,0,Divorced,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,20,1,United-States,0,<=50K
30,0,Private,0,108247,0,Bachelors,13,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
43,0,Private,0,151089,0,Some-college,10,0,Married-civ-spouse,Transport-moving,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,<=50K
50,0,Private,0,35224,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
60,0,Local-gov,0,138502,0,Bachelors,13,0,Married-civ-spouse,Protective-serv,0,Husband,White,Male,7298,0,0,0,48,0,United-States,0,>50K
57,0,Self-emp-not-inc,0,275943,0,7th-8th,4,1,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,40,0,missing,1,<=50K
20,0,Private,0,190423,0,Some-college,10,0,Never-married,Other-service,0,Not-in-family,White,Female,0,0,0,0,20,1,United-States,0,<=50K
41,0,Private,0,96741,0,Assoc-acdm,12,0,Divorced,Sales,0,Unmarried,White,Male,0,0,0,0,40,0,United-States,0,<=50K
42,0,Private,0,37869,0,Some-college,10,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
38,0,Private,0,197711,0,10th,6,0,Divorced,Machine-op-inspct,0,Not-in-family,Asian-Pac-Islander,Female,0,0,0,0,40,0,Portugal,0,<=50K
31,0,State-gov,0,301526,0,Some-college,10,0,Married-spouse-absent,Other-service,0,Other-relative,White,Male,0,0,0,0,40,0,United-States,0,<=50K
31,0,Private,0,51471,0,HS-grad,9,0,Divorced,Adm-clerical,0,Unmarried,White,Female,0,0,0,0,38,0,United-States,0,<=50K
61,0,missing,1,72886,0,HS-grad,9,0,Married-civ-spouse,missing,1,Husband,White,Male,0,0,0,0,38,0,United-States,0,>50K
47,0,State-gov,0,160045,0,Some-college,10,0,Divorced,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
32,0,Private,0,210562,0,Assoc-voc,11,0,Divorced,Craft-repair,0,Own-child,White,Male,0,0,0,0,46,0,United-States,0,<=50K
20,0,Private,0,100605,0,HS-grad,9,0,Never-married,Sales,0,Own-child,Other,Male,0,0,0,0,40,0,Puerto-Rico,0,<=50K
52,0,missing,1,244214,0,HS-grad,9,0,Married-civ-spouse,missing,1,Husband,White,Male,0,0,0,0,35,0,United-States,0,<=50K
43,0,Private,0,130126,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,15024,0,0,0,50,0,United-States,0,>50K
44,0,Private,0,191814,0,Some-college,10,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,45,0,United-States,0,>50K
21,0,Private,0,248512,0,Some-college,10,0,Never-married,Adm-clerical,0,Own-child,White,Female,0,0,0,0,40,0,United-States,0,<=50K
72,0,missing,1,75890,0,Some-college,10,0,Widowed,missing,1,Unmarried,Asian-Pac-Islander,Female,0,0,0,0,4,1,United-States,0,<=50K
37,0,Self-emp-not-inc,0,348739,0,Prof-school,15,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,>50K
21,0,Private,0,108687,0,Some-college,10,0,Never-married,Sales,0,Own-child,White,Female,0,0,0,0,40,0,United-States,0,<=50K
44,0,Private,0,175641,0,11th,7,0,Married-civ-spouse,Sales,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
70,0,Private,0,35494,0,HS-grad,9,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,30,1,United-States,0,<=50K
38,0,Private,0,186934,0,Some-college,10,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,45,0,United-States,0,<=50K
61,0,Private,0,128848,0,HS-grad,9,0,Married-civ-spouse,Machine-op-inspct,0,Husband,White,Male,3471,0,0,0,40,0,United-States,0,<=50K
54,0,Private,0,227832,0,Some-college,10,0,Married-civ-spouse,Adm-clerical,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
53,0,Self-emp-not-inc,0,88506,0,Bachelors,13,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
44,0,Private,0,192225,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
57,0,Private,0,127277,0,Doctorate,16,0,Married-civ-spouse,Prof-specialty,0,Husband,Asian-Pac-Islander,Male,0,0,0,0,40,0,Taiwan,0,>50K
26,0,Self-emp-inc,0,176981,0,Bachelors,13,0,Never-married,Adm-clerical,0,Own-child,White,Female,0,0,0,0,50,0,United-States,0,<=50K
22,0,Private,0,103277,0,Some-college,10,0,Never-married,Adm-clerical,0,Own-child,White,Female,0,0,0,0,20,1,United-States,0,<=50K
58,0,Self-emp-inc,0,258883,0,Bachelors,13,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,60,1,United-States,0,>50K
74,0,Federal-gov,0,181508,0,HS-grad,9,0,Widowed,Other-service,0,Not-in-family,White,Male,0,0,0,0,17,1,United-States,0,<=50K
53,0,State-gov,0,197184,0,Masters,14,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,70,1,United-States,0,>50K
45,0,Self-emp-inc,0,191776,0,Masters,14,0,Divorced,Sales,0,Unmarried,White,Female,25236,0,0,0,42,0,United-States,0,>50K
60,0,Private,0,120067,0,9th,5,0,Married-civ-spouse,Farming-fishing,0,Husband,White,Male,0,0,0,0,45,0,United-States,0,<=50K
32,0,Private,0,53206,0,Bachelors,13,0,Divorced,Craft-repair,0,Not-in-family,White,Male,0,0,0,0,50,0,United-States,0,>50K
36,0,Private,0,137314,0,Assoc-voc,11,0,Never-married,Tech-support,0,Not-in-family,White,Male,0,0,0,0,45,0,United-States,0,<=50K
36,0,Private,0,30267,0,HS-grad,9,0,Married-civ-spouse,Transport-moving,0,Husband,White,Male,0,0,0,0,50,0,United-States,0,<=50K
50,0,Private,0,222020,0,HS-grad,9,0,Married-civ-spouse,Craft-repair,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
42,0,Self-emp-not-inc,0,27821,0,Assoc-voc,11,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,60,1,United-States,0,<=50K
25,0,Private,0,148300,0,Bachelors,13,0,Never-married,Prof-specialty,0,Own-child,White,Female,0,0,0,0,15,1,United-States,0,<=50K
56,0,Self-emp-not-inc,0,26716,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,0,0,0,0,20,1,United-States,0,>50K
23,0,Private,0,398904,0,Bachelors,13,0,Married-civ-spouse,Prof-specialty,0,Wife,White,Female,0,0,0,0,40,0,United-States,0,<=50K
25,0,Private,0,255849,0,HS-grad,9,0,Never-married,Adm-clerical,0,Own-child,White,Female,0,0,0,0,40,0,United-States,0,<=50K
65,0,Self-emp-inc,0,184965,0,Doctorate,16,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,99999,0,0,0,40,0,United-States,0,>50K
24,0,Private,0,233777,0,Some-college,10,0,Never-married,Sales,0,Unmarried,White,Male,0,0,0,0,50,0,Mexico,0,<=50K
46,0,Federal-gov,0,340718,0,11th,7,0,Widowed,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,40,0,United-States,0,<=50K
30,0,Private,0,235124,0,HS-grad,9,0,Married-civ-spouse,Transport-moving,0,Husband,White,Male,99999,0,0,0,40,0,United-States,0,>50K
52,0,Private,0,67090,0,HS-grad,9,0,Married-civ-spouse,Sales,0,Husband,White,Male,0,0,0,0,44,0,United-States,0,<=50K
76,0,Private,0,98695,0,Some-college,10,0,Divorced,Adm-clerical,0,Not-in-family,White,Female,0,0,0,0,20,1,United-States,0,<=50K
24,0,Private,0,111450,0,HS-grad,9,0,Never-married,Transport-moving,0,Unmarried,Black,Male,0,0,0,0,40,0,United-States,0,<=50K
35,0,Private,0,101387,0,HS-grad,9,0,Divorced,Sales,0,Not-in-family,White,Female,0,0,0,0,50,0,United-States,0,<=50K
26,0,Local-gov,0,159662,0,10th,6,0,Married-civ-spouse,Other-service,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,<=50K
48,0,State-gov,0,31141,0,Some-college,10,0,Married-civ-spouse,Protective-serv,0,Husband,White,Male,0,0,1902,0,40,0,United-States,0,>50K
44,0,Private,0,198282,0,Bachelors,13,0,Married-civ-spouse,Exec-managerial,0,Husband,White,Male,15024,0,0,0,60,1,United-States,0,>50K
54,0,Private,0,378747,0,10th,6,0,Separated,Transport-moving,0,Unmarried,Black,Male,0,0,0,0,45,0,United-States,0,>50K
65,0,missing,1,123484,0,HS-grad,9,0,Widowed,missing,1,Other-relative,White,Female,0,0,0,0,25,1,United-States,0,<=50K
35,0,Private,0,38948,0,Some-college,10,0,Married-civ-spouse,Prof-specialty,0,Husband,White,Male,0,0,0,0,40,0,United-States,0,>50K
36,0,Self-emp-not-inc,0,167691,0,Some-college,10,0,Never-married,Other-service,0,Unmarried,White,Female,0,0,0,0,50,0,United-States,0,<=50K
21,0,Private,0,247779,0,11th,7,0,Never-married,Sales,0,Own-child,White,Female,0,0,0,0,38,0,United-States,0,<=50K
38,0,Private,0,277022,0,Some-college,10,0,Divorced,Adm-clerical,0,Unmarried,White,Female,0,0,0,0,40,0,Columbia,0,<=50K
38,0,Private,0,187264,0,HS-grad,9,0,Married-civ-spouse,Exec-managerial,0,Wife,White,Female,0,0,0,0,55,1,United-States,0,<=50K
